station,hour,day,weather,event,passenger_count
Srirampura,16,Friday,Clear,1,12982
National College,14,Friday,Cloudy,1,11546
Rajarajeshwari Nagar,9,Friday,Rain,0,21998
Indiranagar,20,Wednesday,Rain,0,8853
Vijayanagar,10,Sunday,Rain,0,13575
Sri Sathya Sai Hospital,11,Sunday,Clear,0,10019
Peenya Industry,8,Saturday,Rain,1,21267
Hoodi,17,Tuesday,Cloudy,0,11348
Krishnarajapuram (K.R.Puram),13,Saturday,Cloudy,0,9586
Srirampura,18,Monday,Rain,0,14559
"Sir.M.Visvesvaraya Stn., Central College",19,Saturday,Rain,0,15769
"Dr. B. R. Ambedkar Station, Vidhana Soudha",9,Thursday,Rain,0,17792
Yelachenahalli,9,Tuesday,Rain,0,13948
"Nadaprabhu Kempegowda Station, Majestic",18,Tuesday,Cloudy,0,16719
National College,11,Thursday,Cloudy,0,13667
Sandal Soap Factory,20,Thursday,Rain,0,13378
Yelachenahalli,22,Saturday,Rain,0,13946
Mahalakshmi,16,Sunday,Clear,1,8734
Silk Institute,21,Wednesday,Rain,0,13707
Seetharampalya,17,Friday,Rain,0,12793
Yelachenahalli,12,Monday,Rain,0,11454
"Dr. B. R. Ambedkar Station, Vidhana Soudha",13,Friday,Rain,0,12545
National College,8,Sunday,Rain,1,15359
Kengeri Bus Terminal,16,Wednesday,Cloudy,0,14785
Trinity,20,Friday,Rain,0,13891
Doddakallasandra,16,Wednesday,Clear,0,9677
Krishnarajapuram (K.R.Puram),11,Saturday,Clear,0,11258
Singayyanapalya,9,Friday,Cloudy,0,24574
Krishnarajapuram (K.R.Puram),22,Sunday,Rain,0,12305
Mahatma Gandhi Road,13,Monday,Clear,1,11069
Jnanabharathi,13,Tuesday,Rain,0,13079
Hoodi,7,Thursday,Cloudy,0,11970
Kengeri,15,Thursday,Rain,0,13451
Banashankari,20,Wednesday,Clear,0,13332
Mahakavi Kuvempu Road,21,Friday,Rain,0,9087
Rajajinagar,7,Saturday,Cloudy,0,12673
Mahatma Gandhi Road,14,Thursday,Rain,0,10430
Dasarahalli,13,Thursday,Cloudy,0,12958
Nagasandra,9,Sunday,Rain,0,17740
Mahalakshmi,21,Tuesday,Clear,0,11873
Magadi Road,9,Wednesday,Clear,0,23516
Jayanagar,14,Tuesday,Cloudy,0,11859
Banashankari,20,Tuesday,Rain,0,11846
Hopefarm Channasandra,22,Thursday,Clear,0,9410
Baiyappanahalli,7,Tuesday,Cloudy,0,9726
Yelachenahalli,17,Monday,Rain,0,14871
Seetharampalya,17,Tuesday,Cloudy,0,12698
Chickpete,16,Monday,Cloudy,1,13333
Mysore Road,10,Saturday,Rain,1,8432
Hoodi,11,Wednesday,Clear,0,13620
Konanakunte Cross,11,Saturday,Cloudy,1,14388
Peenya,19,Sunday,Rain,0,20983
Krishna Rajendra Market,20,Saturday,Rain,0,10046
Kengeri,15,Sunday,Clear,0,10811
Doddakallasandra,17,Thursday,Rain,0,8764
Vijayanagar,10,Tuesday,Rain,0,8806
Goraguntepalya,10,Thursday,Rain,0,13499
Nagasandra,18,Saturday,Clear,0,16447
Goraguntepalya,7,Thursday,Clear,0,8807
Konanakunte Cross,14,Friday,Rain,0,11109
Rashtreeya Vidyalaya Road,11,Friday,Cloudy,0,13603
Kadugodi Tree Park,14,Tuesday,Cloudy,0,13895
"Nadaprabhu Kempegowda Station, Majestic",8,Monday,Cloudy,0,20046
Attiguppe,14,Saturday,Rain,1,13584
Vajarahalli,6,Thursday,Clear,1,12131
Kengeri Bus Terminal,21,Friday,Clear,1,14145
Thalaghattapura,13,Sunday,Rain,0,8986
Krantivira Sangolli Rayanna Railway Station,21,Sunday,Rain,1,13058
Rajarajeshwari Nagar,11,Friday,Clear,0,10151
Kundalahalli,16,Wednesday,Cloudy,0,15525
"Dr. B. R. Ambedkar Station, Vidhana Soudha",8,Saturday,Rain,1,21875
Pantharapalya - Nayandahalli,19,Monday,Clear,0,14133
Rashtreeya Vidyalaya Road,15,Monday,Clear,0,8567
Krishna Rajendra Market,15,Sunday,Clear,0,15136
Rajajinagar,15,Wednesday,Cloudy,0,14767
Vijayanagar,15,Sunday,Cloudy,0,10541
Kengeri,15,Tuesday,Cloudy,0,11542
Cubbon Park,15,Tuesday,Cloudy,0,11654
Vajarahalli,9,Tuesday,Cloudy,0,14184
Chickpete,22,Sunday,Rain,0,14345
Indiranagar,9,Sunday,Cloudy,1,16984
Mahatma Gandhi Road,21,Tuesday,Cloudy,0,14490
Kengeri Bus Terminal,15,Friday,Rain,0,15187
Silk Institute,6,Friday,Clear,0,11274
Yelachenahalli,17,Saturday,Clear,0,10558
Rajajinagar,20,Thursday,Clear,0,13683
Hoodi,15,Friday,Clear,1,9194
Peenya Industry,6,Saturday,Clear,0,11117
Swami Vivekananda Road,17,Monday,Clear,0,15567
Banashankari,9,Saturday,Cloudy,1,18136
Kundalahalli,19,Thursday,Clear,0,21929
National College,14,Saturday,Rain,0,9795
Banashankari,18,Saturday,Cloudy,1,22485
