ticket_id,entry_station,exit_station,entry_hour,distance,expected_time,travel_time,ticket_type,repeat_usage,fraud_label
4962f1e0,Bommanahalli,Huskur Road,21,13.67,23,2,SmartCard,0,1
a408e760,Jnanabharathi,Trinity,20,1.73,2,2,SmartCard,0,0
3437a87f,Magadi Road,Halasuru,23,10.02,17,18,Token,0,0
3ba1fd0c,Nagasandra,Bommanahalli,5,15.92,27,30,QR,0,0
0208b530,Biocon Hebbagodi,Pantharapalya Nayandahalli,10,22.77,39,42,QR,0,0
6c91fc60,Rashtreeya Vidyalaya Road,Peenya,22,7.95,13,15,Token,1,1
b511cfe3,Deepanjali Nagar,Dasarahalli,19,7.94,13,16,Token,0,0
ddcb815a,Garudacharapalya,Yeshwanthpur,8,19.0,32,5,SmartCard,0,1
60362478,Halasuru,Dasarahalli,12,11.1,19,19,QR,0,0
0ad646ce,Nadaprabhu Kempegowda Station Majestic,Magadi Road,13,14.22,24,27,QR,0,0
65338df9,Krishna Rajendra Market,Dasarahalli,7,14.73,25,28,SmartCard,0,0
a2234925,Sir M Visvesvaraya Central College,Vijayanagar,22,23.21,39,40,QR,0,0
1cf835d9,Silk Institute,Benniganahalli,12,1.35,2,3,Token,0,0
d64fa569,Sandal Soap Factory,Jayadeva Hospital,8,12.31,21,23,Token,0,0
29eb5f5a,Kengeri Bus Terminal,Electronic City,16,24.67,42,40,Token,0,0
b2b6e903,Singayyanapalya,Kengeri,5,14.39,24,23,SmartCard,0,0
c0b0837c,Chickpete,Peenya,11,11.44,19,68,QR,0,1
ea2d01b9,South End Circle,Jayadeva Hospital,15,6.13,10,10,QR,0,0
c4e8148d,Jayanagar,Mantri Square Sampige Road,7,24.74,42,42,QR,0,0
e9777a09,Sir M Visvesvaraya Central College,Jalahalli,18,16.1,27,27,QR,0,0
410a7ca6,Sri Sathya Sai Hospital,Pantharapalya Nayandahalli,6,10.45,17,15,QR,0,0
261c2d5f,BTM Layout,Kengeri Bus Terminal,8,20.02,34,33,Token,0,0
c3c8cbce,Kengeri Bus Terminal,Jayaprakash Nagar,15,13.85,23,5,SmartCard,0,1
cc7c6c83,Jayanagar,Dasarahalli,16,13.08,22,25,QR,0,0
124f14c9,Hosa Road,Rashtreeya Vidyalaya Road,10,6.14,10,12,SmartCard,0,0
f96ba561,Hosa Road,Thalaghattapura,14,21.68,37,38,QR,0,0
2367f42a,Doddakallasandra,Electronic City,16,9.26,15,1,QR,0,1
a424ee2e,Hopefarm Channasandra,Garudacharapalya,8,4.54,7,9,SmartCard,0,0
8f6344ef,Krishnarajapura,Benniganahalli,17,10.81,18,17,SmartCard,0,0
de7cd8b3,Sir M Visvesvaraya Central College,Jayaprakash Nagar,16,17.81,30,31,QR,0,0
7bfa4fc8,Goraguntepalya,Magadi Road,19,13.52,23,21,Token,1,1
74d26009,Rajajinagar,Jayaprakash Nagar,9,11.78,20,23,Token,0,0
b09d9181,Banashankari,Nadaprabhu Kempegowda Station Majestic,17,18.66,31,34,Token,0,0
f19379b7,Jayanagar,Vijayanagar,17,12.38,21,22,QR,0,0
c019f611,Attiguppe,BTM Layout,17,24.17,41,39,SmartCard,0,0
8ce2e1a6,Cubbon Park,Deepanjali Nagar,8,2.8,4,2,Token,0,0
cc245c65,Krishna Rajendra Market,Central Silk Board,22,1.05,1,0,QR,0,0
37ae3813,BTM Layout,Sir M Visvesvaraya Central College,13,6.98,11,9,Token,0,0
ef0b8b3e,Whitefield (Kadugodi),Halasuru,6,13.17,22,25,Token,0,0
d592dd89,Manjunath Nagar,Mahatma Gandhi Road,22,10.05,17,73,QR,0,1
da834b8f,Baiyappanahalli,South End Circle,19,9.59,16,19,SmartCard,0,0
a0900be4,Kengeri,Rajarajeshwari Nagar,12,10.5,18,75,SmartCard,0,1
14c64a2a,Indiranagar,Singasandra,8,16.14,27,25,QR,0,0
ee59219d,Rajarajeshwari Nagar,Doddakallasandra,19,2.14,3,6,SmartCard,0,0
be72b225,Biocon Hebbagodi,Goraguntepalya,10,10.89,18,17,Token,0,0
b30b2408,Jalahalli,Srirampura,15,4.1,7,9,Token,0,0
5c09e97b,Mysuru Road,Jalahalli,13,1.1,1,-1,QR,0,0
eff983e9,Central Silk Board,Sri Balagangadharanatha Swamiji Hosahalli,12,10.33,17,20,Token,0,0
2b6e033e,BTM Layout,Pattandur Agrahara,14,22.05,37,85,SmartCard,0,1
f7d24e06,Hosa Road,Manjunath Nagar,15,24.39,41,42,Token,0,0
37367335,Rajarajeshwari Nagar,Srirampura,12,15.16,25,25,Token,0,0
0cc6ee2a,Garudacharapalya,Thalaghattapura,6,8.61,14,69,SmartCard,0,1
